OBJECTID,CAPTURE_ACCURACY,EQUIPMENT,DESCRIPTION,STATUS,OBJECT_TYPE_DESCRIPTION,Shape__Length,GlobalID
814,2,100045258,Kiwi Track,OPEN,Tramping Track,8180.33836494204,62845ab3-ceae-4ab4-8bd4-fe2cce215510
815,6,100045259,End grass flats to Cecil Kings Hut,OPEN,Tramping Track,9071.11747981115,84fc0cd6-5bda-41ae-bad8-0d088c7cc3bc
816,2,100045261,Lost Valley Track,OPEN,Tramping Track,3466.87443780607,ffc735e3-e3a0-4cbf-b1f1-c568a39b20eb
817,2,100045265,Ben Nevis Track,OPEN,Tramping Track,4569.40672348162,3db57f36-fce6-4654-be7a-47edfaa07f46
818,6,100045266,Starveall - Slaty alpine route,OPEN,Route,8710.88214424753,10cbe957-3f3c-4662-bf35-ddb71c4dbbff
819,2,100045267,Chromite Mine Track,OPEN,Tramping Track,912.302161949923,34f2f95f-47e4-4ca2-be88-9db31ea97233
820,6,100045268,6' TK BTWN TE PANAA AND TAURAWHARONA HUT,OPEN,Tramping Track,8316.0660923036,b00311be-a57d-4c07-950a-dc70c7420f5c
821,2,100045269,OTAMATUNA RIDGE TK,OPEN,Tramping Track,6823.98869968188,0e07679a-e11a-4053-a786-a97292d3c6da
822,2,100045270,OTAPUKAWA-OTAMATUNA TRK,OPEN,Tramping Track,5817.77952449735,2ecd7cc7-1875-4128-82c6-2c3227a46d2a
823,6,100045271,POHATU TK - OHORA HUT TO START OF BENCH,OPEN,Tramping Track,7231.6683644668,890ac4cc-d3a0-490f-890f-68582244e3d7
824,6,100045272,POHATU TK - MATAHI RD TO END OF BENCH TK,OPEN,Tramping Track,4193.59681120505,b184fede-b2e6-4cef-8cb5-d39bd4632d5e
825,6,100045273,PAKIHI TK - PAKIHI HUT TO PAKIHI ROADEND,OPEN,Easy Tramping Track,8491.53356588582,f54f349c-56f8-451d-a067-8936d891086b
826,6,100045274,PAKIHI TK - MOTU RD TO PAKIHI HUT,OPEN,Easy Tramping Track,9806.89646569209,3419f204-a706-4f14-a9e0-ea0724c0a643
827,6,100045275,MANGAPUMARUMARU TK,OPEN,Tramping Track,5626.00892874471,fce05512-94fe-4325-9a9f-343869fa3b41
828,6,100045277,TAWHANA-TE PUA TK,OPEN,Tramping Track,5140.65015506132,dab005d0-92b9-475e-8829-047b246fad54
829,6,100045278,TE PANAA - TE PUA TK,OPEN,Tramping Track,3704.6187620027,bbd54623-ae51-47cc-9d39-73245d67e7ad
830,6,100045279,TATAWEKA HUT TO JUNCTION WITH TE PUA -OT,OPEN,Route,11500.7846410373,e2b5847c-47f7-4be6-bbf9-84810b8afa9f
831,5,100045281,DUSKY TK - LOCH MAREE HUT TO SUPPER COVE,OPEN,Tramping Track,12500.9405771659,9fab6ef0-5f63-48dc-ba4b-57eb2c070b08
832,5,100045282,DUSKY TK - UPPER SPEY HUT TO KINTAIL HUT,OPEN,Tramping Track,6544.37985539186,7a433d8f-e93f-44a5-b5c8-e61fd33a3591
833,2,100045283,DUSKY TK - WILMOT PASS RD TO UPPER SPEY,OPEN,Tramping Track,9005.02319657592,7559314e-6fdc-47c1-aa46-79c6ad4b1b9c
834,6,100045285,Mt Stormy Route,OPEN,Route,5276.6990197291,28282883-97f7-4675-a8f0-f28d41e9070d
835,5,100045286,Belltown Hut to Wangapeka Bivvy Route,OPEN,Route,5218.74883584572,113c6873-951b-46d4-ad24-dae4099d92dc
836,5,100045287,Wangapeka Bivvy to Little Wanganui Sddle,OPEN,Route,2416.50738141432,0750b117-3ec3-4a84-8210-d69444de8736
837,5,100045288,Buckland Peaks Track,OPEN,Tramping Track,4525.12465940392,1eb42149-abc7-4381-bcfa-f428667f68b9
838,1,100045289,Tiropahi Track,OPEN,Tramping Track,5136.11339374268,9af5f632-ec93-423d-8928-afaeb12fc44e
839,6,100045290,Fossil Creek to Bullock Creek Road Track,OPEN,Tramping Track,7078.17383025331,73bb4483-5a4b-4fdf-a562-7ff9777d2e13
840,5,100045291,Fox River Cave Junctn to Fossil Ck Pt Tk,OPEN,Tramping Track,6304.86394736439,aea69930-17c3-4a9f-a29b-669d699f0a84
841,6,100045293,KAIHOKA LAKES WALK,OPEN,Walking Track,599.219640817553,abbbe360-e7e5-4fbc-bb62-7a292db5622a
842,2,100045294,PUPONGA MINE TK,OPEN,Walking Track,393.775539429814,ad9335d0-47b2-448f-a92a-01ad874c50dd
843,2,100045295,WASHBOURN TK,OPEN,Walking Track,804.24634410536,e21b9647-b915-4cb2-8cd7-e748b13ca3ce
844,6,100045298,Mt Oxford Track,OPEN,Tramping Track,4896.56801099749,8d0ab1b0-9d78-4881-8b0d-99eb38ce6433
845,6,100045299,Canton Battery Walking Track,OPEN,Walking Track,171.937549670489,3f39c024-0f2c-436b-9dbf-f1128d457bee
846,6,100045300,WAIHUA HUT - CASINO BIVY,OPEN,Tramping Track,5780.54890529182,aeb5bae6-3741-47c1-969c-bd917ae2836d
847,2,100045304,Okuti Valley Track,OPEN,Short Walk,350.388221790291,70a38219-1ad9-4d23-81cc-aa6566e8337a
848,6,100045305,Otepatotu Reserve Track,OPEN,Walking Track,1441.6697528833,9a497d62-9e6c-41f8-8f52-8515ccb48500
849,6,100045317,JUNCTION HUT TRACK,OPEN,Tramping Track,7695.51011726158,e5c2c021-457c-4903-974c-9f9ca332ebb8
850,2,100045325,CROWN RANGE SUMMIT TO ROCK PEAK TRACK,OPEN,Walking Track,3868.42938221019,f04423b4-0362-49c0-b049-2ea59a96875a
851,6,100045340,OTAPUKAWA HUT TO OTANE STM CONFLUENCE TK,OPEN,Route,8083.37867737619,3cffe9cf-c632-4d28-9f44-dacc819eb59c
852,6,100045341,TE PUA - OTANE TK,OPEN,Tramping Track,2841.7757782979,50fb01d7-2167-4643-bef5-2d44e457238b
853,6,100045342,TAUWHARE/TAWHANA TK JUNC. to Whakatane R,OPEN,Tramping Track,12644.9533270485,e5b5d880-7038-4a64-819c-41c66a96f124
854,2,100045343,APITI/WAIPOTIKI TK - SADDLE BIV (MANGAWA,OPEN,Route,3155.23380855453,9dd8757d-02b1-44f5-b4bc-16425530d079
